                                                            ZZGSES       1249125159937519332002402625                                                      20251128               
                                                            GSE  S       0832750106625012888001601750                                                      20260101
1150000000ANNISTON-OXFORD, AL                               GSE  S01340000832750106625012888001601750AL015ALABAMA                   CALHOUN                2026010101570002021
2930000000LAGRANGE, GA-AL                                   GSE  S02150000832750106625012888001601750AL017ALABAMA                   CHAMBERS               2026010102150002025
9999900000NON-METRO                                         GSE  S01500000832750106625012888001601750AL019ALABAMA                   CHEROKEE               2026010101500002025
1382000000BIRMINGHAM, AL                                    GSE  S03170000832750106625012888001601750AL021ALABAMA                   CHILTON                2026010103170002025
9999900000NON-METRO                                         GSE  S01500000832750106625012888001601750AL023ALABAMA                   CHOCTAW                2026010101500002025
9999900000NON-METRO                                         GSE  S01690000832750106625012888001601750AL025ALABAMA                   CLARKE                 2026010101750002024
9999900000NON-METRO                                         GSE  S01000000832750106625012888001601750AL027ALABAMA                   CLAY                   2026010101000002025
9999900000NON-METRO                                         GSE  S01930000832750106625012888001601750AL029ALABAMA                   CLEBURNE               2026010101930002025
2146000000ENTERPRISE, AL                                    GSE  S01900000832750106625012888001601750AL031ALABAMA                   COFFEE                 2026010101900002025
2252000000FLORENCE-MUSCLE SHOALS, AL                        GSE  S01900000832750106625012888001601750AL033ALABAMA                   COLBERT                2026010101900002025
9999900000NON-METRO                                         GSE  S01360000832750106625012888001601750AL035ALABAMA                   CONECUH                2026010101370002024
4518000000TALLADEGA-SYLACAUGA, AL                           GSE  S01310000832750106625012888001601750AL037ALABAMA                   COOSA                  2026010102680002024
9999900000NON-METRO                                         GSE  S01200000832750106625012888001601750AL039ALABAMA                   COVINGTON              2026010101200002025
9999900000NON-METRO                                         GSE  S01450000832750106625012888001601750AL041ALABAMA                   CRENSHAW               2026010101450002025
1898000000CULLMAN, AL                                       GSE  S01780000832750106625012888001601750AL043ALABAMA                   CULLMAN                2026010101780002025
3712000000OZARK, AL                                         GSE  S01300000832750106625012888001601750AL045ALABAMA                   DALE                   2026010101300002025
4282000000SELMA, AL                                         GSE  S00650000832750106625012888001601750AL047ALABAMA                   DALLAS                 2026010100970002010
2284000000FORT PAYNE, AL                                    GSE  S01030000832750106625012888001601750AL049ALABAMA                   DEKALB                 2026010101460002019
3386000000MONTGOMERY, AL                                    GSE  S02200000832750106625012888001601750AL051ALABAMA                   ELMORE                 2026010102200002025
9999900000NON-METRO                                         GSE  S01640000832750106625012888001601750AL053ALABAMA                   ESCAMBIA               2026010102070002022
2346000000GADSDEN, AL                                       GSE  S02580000832750106625012888001601750AL055ALABAMA                   ETOWAH                 2026010102580002025
9999900000NON-METRO                                         GSE  S01190000832750106625012888001601750AL057ALABAMA                   FAYETTE                2026010101190002025
4077000000RUSSELLVILLE, AL                                  GSE  S00980000832750106625012888001601750AL059ALABAMA                   FRANKLIN               2026010100980002025
2002000000DOTHAN, AL                                        GSE  S01920000832750106625012888001601750AL061ALABAMA                   GENEVA                 2026010101920002025
4622000000TUSCALOOSA, AL                                    GSE  S02310000832750106625012888001601750AL063ALABAMA                   GREENE                 2026010102880002015
4622000000TUSCALOOSA, AL                                    GSE  S02310000832750106625012888001601750AL065ALABAMA                   HALE                   2026010102880002015
2002000000DOTHAN, AL                                        GSE  S01920000832750106625012888001601750AL067ALABAMA                   HENRY                  2026010101920002025
2002000000DOTHAN, AL                                        GSE  S01920000832750106625012888001601750AL069ALABAMA                   HOUSTON                2026010101920002025
4246000000SCOTTSBORO, AL                                    GSE  S02240000832750106625012888001601750AL071ALABAMA                   JACKSON                2026010102240002025
1382000000BIRMINGHAM, AL                                    GSE  S03170000832750106625012888001601750AL073ALABAMA                   JEFFERSON              2026010103170002025
9999900000NON-METRO                                         GSE  S01510000832750106625012888001601750AL075ALABAMA                   LAMAR                  2026010103520002022
2252000000FLORENCE-MUSCLE SHOALS, AL                        GSE  S01900000832750106625012888001601750AL077ALABAMA                   LAUDERDALE             2026010101900002025
1946000000DECATUR, AL                                       GSE  S02080000832750106625012888001601750AL079ALABAMA                   LAWRENCE               2026010102080002025
1222000000AUBURN-OPELIKA, AL                                GSE  S03710000832750106625012888001601750AL081ALABAMA                   LEE                    2026010103710002025
2662000000HUNTSVILLE, AL                                    GSE  S02950000832750106625012888001601750AL083ALABAMA                   LIMESTONE              2026010102950002025
3386000000MONTGOMERY, AL                                    GSE  S02200000832750106625012888001601750AL085ALABAMA                   LOWNDES                2026010102200002025
1222000000AUBURN-OPELIKA, AL                                GSE  S03710000832750106625012888001601750AL087ALABAMA                   MACON                  2026010103710002025
2662000000HUNTSVILLE, AL                                    GSE  S02950000832750106625012888001601750AL089ALABAMA                   MADISON                2026010102950002025
9999900000NON-METRO                                         GSE  S01390000832750106625012888001601750AL091ALABAMA                   MARENGO                2026010101390002025
9999900000NON-METRO                                         GSE  S01400000832750106625012888001601750AL093ALABAMA                   MARION                 2026010101980002024
1070000000ALBERTVILLE, AL                                   GSE  S01900000832750106625012888001601750AL095ALABAMA                   MARSHALL               2026010101900002025
3366000000MOBILE, AL                                        GSE  S01450000832750106625012888001601750AL097ALABAMA                   MOBILE                 2026010101890002024
9999900000NON-METRO                                         GSE  S00910000832750106625012888001601750AL099ALABAMA                   MONROE                 2026010101070002010
3386000000MONTGOMERY, AL                                    GSE  S02200000832750106625012888001601750AL101ALABAMA                   MONTGOMERY             2026010102200002025
1946000000DECATUR, AL                                       GSE  S02080000832750106625012888001601750AL103ALABAMA                   MORGAN                 2026010102080002025
9999900000NON-METRO                                         GSE  S01180000832750106625012888001601750AL105ALABAMA                   PERRY                  2026010101230002023
4622000000TUSCALOOSA, AL                                    GSE  S02310000832750106625012888001601750AL107ALABAMA                   PICKENS                2026010102880002015
4598000000TROY, AL                                          GSE  S01440000832750106625012888001601750AL109ALABAMA                   PIKE                   2026010101500002024
9999900000NON-METRO                                         GSE  S02460000832750106625012888001601750AL111ALABAMA                   RANDOLPH               2026010102750002023
1798000000COLUMBUS, GA-AL                                   GSE  S03250000832750106625012888001601750AL113ALABAMA                   RUSSELL                2026010103250002025
1382000000BIRMINGHAM, AL                                    GSE  S03170000832750106625012888001601750AL115ALABAMA                   ST. CLAIR              2026010103170002025
1382000000BIRMINGHAM, AL                                    GSE  S03170000832750106625012888001601750AL117ALABAMA                   SHELBY                 2026010103170002025
9999900000NON-METRO                                         GSE  S02710000832750106625012888001601750AL119ALABAMA                   SUMTER                 2026010102710002025
4518000000TALLADEGA-SYLACAUGA, AL                           GSE  S01310000832750106625012888001601750AL121ALABAMA                   TALLADEGA              2026010101580002009
1076000000ALEXANDER CITY, AL                                GSE  S02740000832750106625012888001601750AL123ALABAMA                   TALLAPOOSA             2026010102740002025
4622000000TUSCALOOSA, AL                                    GSE  S02310000832750106625012888001601750AL125ALABAMA                   TUSCALOOSA             2026010102880002015
1382000000BIRMINGHAM, AL                                    GSE  S03170000832750106625012888001601750AL127ALABAMA                   WALKER                 2026010103170002025
9999900000NON-METRO                                         GSE  S02050000832750106625012888001601750AL129ALABAMA                   WASHINGTON             2026010102050002025
9999900000NON-METRO                                         GSE  S01130000832750106625012888001601750AL131ALABAMA                   WILCOX                 2026010101200002023
9999900000NON-METRO                                         GSE  S01350000832750106625012888001601750AL133ALABAMA                   WINSTON                2026010101350002025
9999900000NON-METRO                                         GSE  S00930000832750106625012888001601750AR001ARKANSAS                  ARKANSAS               2026010100970002021
9999900000NON-METRO                                         GSE  S00750000832750106625012888001601750AR003ARKANSAS                  ASHLEY                 2026010100790002013
3426000000MOUNTAIN HOME, AR                                 GSE  S01900000832750106625012888001601750AR005ARKANSAS                  BAXTER                 2026010101900002025
2222000000FAYETTEVILLE-SPRINGDALE-ROGERS, AR                GSE  S03650000832750106625012888001601750AR007ARKANSAS                  BENTON                 2026010103650002025
2546000000HARRISON, AR                                      GSE  S01790000832750106625012888001601750AR009ARKANSAS                  BOONE                  2026010101790002025
9999900000NON-METRO                                         GSE  S00830000832750106625012888001601750AR011ARKANSAS                  BRADLEY                2026010100830002025
1578000000CAMDEN, AR                                        GSE  S00850000832750106625012888001601750AR013ARKANSAS                  CALHOUN                2026010101730002009
9999900000NON-METRO                                         GSE  S02210000832750106625012888001601750AR015ARKANSAS                  CARROLL                2026010102210002025
9999900000NON-METRO                                         GSE  S00950000832750106625012888001601750AR017ARKANSAS                  CHICOT                 2026010101190002008
1166000000ARKADELPHIA, AR                                   GSE  S02150000832750106625012888001601750AR019ARKANSAS                  CLARK                  2026010102190002023
9999900000NON-METRO                                         GSE  S00950000832750106625012888001601750AR021ARKANSAS                  CLAY                   2026010101190002024
9999900000NON-METRO                                         GSE  S01950000832750106625012888001601750AR023ARKANSAS                  CLEBURNE               2026010101950002025
3822000000PINE BLUFF, AR                                    GSE  S01630000832750106625012888001601750AR025ARKANSAS                  CLEVELAND              2026010101630002025
3162000000MAGNOLIA, AR                                      GSE  S01220000832750106625012888001601750AR027ARKANSAS                  COLUMBIA               2026010101490002023
9999900000NON-METRO                                         GSE  S01300000832750106625012888001601750AR029ARKANSAS                  CONWAY                 2026010101540002022
2786000000JONESBORO, AR                                     GSE  S02000000832750106625012888001601750AR031ARKANSAS                  CRAIGHEAD              2026010102000002025
2290000000FORT SMITH, AR-OK                                 GSE  S01790000832750106625012888001601750AR033ARKANSAS                  CRAWFORD               2026010101790002025
3282000000MEMPHIS, TN-MS-AR                                 GSE  S03390000832750106625012888001601750AR035ARKANSAS                  CRITTENDEN             2026010103400002024
9999900000NON-METRO                                         GSE  S01400000832750106625012888001601750AR037ARKANSAS                  CROSS                  2026010101400002024
9999900000NON-METRO                                         GSE  S00680000832750106625012888001601750AR039ARKANSAS                  DALLAS                 2026010100830002008
9999900000NON-METRO                                         GSE  S00830000832750106625012888001601750AR041ARKANSAS                  DESHA                  2026010100830002025
9999900000NON-METRO                                         GSE  S01400000832750106625012888001601750AR043ARKANSAS                  DREW                   2026010101500002024
3078000000LITTLE ROCK-NORTH LITTLE ROCK-CONWAY, AR          GSE  S02320000832750106625012888001601750AR045ARKANSAS                  FAULKNER               2026010102320002025
9999900000NON-METRO                                         GSE  S01210000832750106625012888001601750AR047ARKANSAS                  FRANKLIN               2026010101750002020
9999900000NON-METRO                                         GSE  S00950000832750106625012888001601750AR049ARKANSAS                  FULTON                 2026010101390002024
2630000000HOT SPRINGS, AR                                   GSE  S02100000832750106625012888001601750AR051ARKANSAS                  GARLAND                2026010102100002025
3078000000LITTLE ROCK-NORTH LITTLE ROCK-CONWAY, AR          GSE  S02320000832750106625012888001601750AR053ARKANSAS                  GRANT                  2026010102320002025
3750000000PARAGOULD, AR                                     GSE  S01500000832750106625012888001601750AR055ARKANSAS                  GREENE                 2026010101500002025
9999900000NON-METRO                                         GSE  S00810000832750106625012888001601750AR057ARKANSAS                  HEMPSTEAD              2026010102290002024
3168000000MALVERN, AR                                       GSE  S01200000832750106625012888001601750AR059ARKANSAS                  HOT SPRING             2026010101390002022
9999900000NON-METRO                                         GSE  S01280000832750106625012888001601750AR061ARKANSAS                  HOWARD                 2026010101280002025
1290000000BATESVILLE, AR                                    GSE  S01350000832750106625012888001601750AR063ARKANSAS                  INDEPENDENCE           2026010101350002025
9999900000NON-METRO                                         GSE  S01090000832750106625012888001601750AR065ARKANSAS                  IZARD                  2026010101090002025
9999900000NON-METRO                                         GSE  S00750000832750106625012888001601750AR067ARKANSAS                  JACKSON                2026010101400002024
3822000000PINE BLUFF, AR                                    GSE  S01630000832750106625012888001601750AR069ARKANSAS                  JEFFERSON              2026010101630002025
9999900000NON-METRO                                         GSE  S02180000832750106625012888001601750AR071ARKANSAS                  JOHNSON                2026010102180002025
9999900000NON-METRO                                         GSE  S00740000832750106625012888001601750AR073ARKANSAS                  LAFAYETTE              2026010100800002022
9999900000NON-METRO                                         GSE  S01000000832750106625012888001601750AR075ARKANSAS                  LAWRENCE               2026010101000002025
9999900000NON-METRO                                         GSE  S00700000832750106625012888001601750AR077ARKANSAS                  LEE                    2026010101220002020
9999900000NON-METRO                                         GSE  S01400000832750106625012888001601750AR079ARKANSAS                  LINCOLN                2026010101470002024
4550000000TEXARKANA, TX-AR                                  GSE  S01940000832750106625012888001601750AR081ARKANSAS                  LITTLE RIVER           2026010101940002025
9999900000NON-METRO                                         GSE  S01680000832750106625012888001601750AR083ARKANSAS                  LOGAN                  2026010101680002025
3078000000LITTLE ROCK-NORTH LITTLE ROCK-CONWAY, AR          GSE  S02320000832750106625012888001601750AR085ARKANSAS                  LONOKE                 2026010102320002025
2222000000FAYETTEVILLE-SPRINGDALE-ROGERS, AR                GSE  S03650000832750106625012888001601750AR087ARKANSAS                  MADISON                2026010103650002025
9999900000NON-METRO                                         GSE  S01470000832750106625012888001601750AR089ARKANSAS                  MARION                 2026010102040002024
4550000000TEXARKANA, TX-AR                                  GSE  S01940000832750106625012888001601750AR091ARKANSAS                  MILLER                 2026010101940002025
1418000000BLYTHEVILLE, AR                                   GSE  S01010000832750106625012888001601750AR093ARKANSAS                  MISSISSIPPI            2026010101080002019
9999900000NON-METRO                                         GSE  S01090000832750106625012888001601750AR095ARKANSAS                  MONROE                 2026010101120002022
9999900000NON-METRO                                         GSE  S01350000832750106625012888001601750AR097ARKANSAS                  MONTGOMERY             2026010101630002023
9999900000NON-METRO                                         GSE  S00700000832750106625012888001601750AR099ARKANSAS                  NEVADA                 2026010102290002024
2546000000HARRISON, AR                                      GSE  S01790000832750106625012888001601750AR101ARKANSAS                  NEWTON                 2026010101790002025
1578000000CAMDEN, AR                                        GSE  S00850000832750106625012888001601750AR103ARKANSAS                  OUACHITA               2026010101730002009
3078000000LITTLE ROCK-NORTH LITTLE ROCK-CONWAY, AR          GSE  S02320000832750106625012888001601750AR105ARKANSAS                  PERRY                  2026010102320002025
9999900000NON-METRO                                         GSE  S00400000832750106625012888001601750AR107ARKANSAS                  PHILLIPS               2026010100650002013
9999900000NON-METRO                                         GSE  S01070000832750106625012888001601750AR109ARKANSAS                  PIKE                   2026010101490002020
2786000000JONESBORO, AR                                     GSE  S02000000832750106625012888001601750AR111ARKANSAS                  POINSETT               2026010102000002025
9999900000NON-METRO                                         GSE  S01300000832750106625012888001601750AR113ARKANSAS                  POLK                   2026010101300002025
4078000000RUSSELLVILLE, AR                                  GSE  S01800000832750106625012888001601750AR115ARKANSAS                  POPE                   2026010101800002025
9999900000NON-METRO                                         GSE  S01160000832750106625012888001601750AR117ARKANSAS                  PRAIRIE                2026010101160002025
3078000000LITTLE ROCK-NORTH LITTLE ROCK-CONWAY, AR          GSE  S02320000832750106625012888001601750AR119ARKANSAS                  PULASKI                2026010102320002025
9999900000NON-METRO                                         GSE  S01200000832750106625012888001601750AR121ARKANSAS                  RANDOLPH               2026010101200002025
2262000000FORREST CITY, AR                                  GSE  S00600000832750106625012888001601750AR123ARKANSAS                  ST. FRANCIS            2026010100680002022
3078000000LITTLE ROCK-NORTH LITTLE ROCK-CONWAY, AR          GSE  S02320000832750106625012888001601750AR125ARKANSAS                  SALINE                 2026010102320002025
9999900000NON-METRO                                         GSE  S00600000832750106625012888001601750AR127ARKANSAS                  SCOTT                  2026010100890002022
9999900000NON-METRO                                         GSE  S01110000832750106625012888001601750AR129ARKANSAS                  SEARCY                 2026010101110002025
2290000000FORT SMITH, AR-OK                                 GSE  S01790000832750106625012888001601750AR131ARKANSAS                  SEBASTIAN              2026010101790002025
9999900000NON-METRO                                         GSE  S01120000832750106625012888001601750AR133ARKANSAS                  SEVIER                 2026010101120002025
9999900000NON-METRO                                         GSE  S01030000832750106625012888001601750AR135ARKANSAS                  SHARP                  2026010101200002024
9999900000NON-METRO                                         GSE  S01970000832750106625012888001601750AR137ARKANSAS                  STONE                  2026010101970002025
2098000000EL DORADO, AR                                     GSE  S01290000832750106625012888001601750AR139ARKANSAS                  UNION                  2026010101290002025
9999900000NON-METRO                                         GSE  S01170000832750106625012888001601750AR141ARKANSAS                  VAN BUREN              2026010101170002025
2222000000FAYETTEVILLE-SPRINGDALE-ROGERS, AR                GSE  S03650000832750106625012888001601750AR143ARKANSAS                  WASHINGTON             2026010103650002025
4262000000SEARCY, AR                                        GSE  S01700000832750106625012888001601750AR145ARKANSAS                  WHITE                  2026010101700002025
9999900000NON-METRO                                         GSE  S01280000832750106625012888001601750AR147ARKANSAS                  WOODRUFF               2026010101280002025
4078000000RUSSELLVILLE, AR                                  GSE  S01800000832750106625012888001601750AR149ARKANSAS                  YELL                   2026010101800002025
9999900000NON-METRO                                         GSE  S01060000832750106625012888001601750AS010AMERICAN SAMOA            EASTERN DISTRIC        2026010101220002008
9999900000NON-METRO                                         GSE  S01370000832750106625012888001601750AS020AMERICAN SAMOA            MANU'A DISTRICT        2026010102300002008
9999900000NON-METRO                                         GSE  S01350000832750106625012888001601750AS030AMERICAN SAMOA            ROSE ISLAND            2026010101350002025
9999900000NON-METRO                                         GSE  S01350000832750106625012888001601750AS040AMERICAN SAMOA            SWAINS ISLAND          2026010101350002025
9999900000NON-METRO                                         GSE  S01610000832750106625012888001601750AS050AMERICAN SAMOA            WESTERN DISTRIC        2026010101610002025
9999900000NON-METRO                                         GSE  S01180000832750106625012888001601750AZ001ARIZONA                   APACHE                 2026010101500002008
4342000000SIERRA VISTA-DOUGLAS, AZ                          GSE  S02350000832750106625012888001601750AZ003ARIZONA                   COCHISE                2026010102350002025
2238000000FLAGSTAFF, AZ                                     GSE  S05300000832750106625012888001601750AZ005ARIZONA                   COCONINO               2026010105300002025
3774000000PAYSON, AZ                                        GSE  S03350000832750106625012888001601750AZ007ARIZONA                   GILA                   2026010103350002025
4094000000SAFFORD, AZ                                       GSE  S02500000832750106625012888001601750AZ009ARIZONA                   GRAHAM                 2026010102500002025
9999900000NON-METRO                                         GSE  S01230000832750106625012888001601750AZ011ARIZONA                   GREENLEE               2026010101340002023
9999900000NON-METRO                                         GSE  S01500000832750106625012888001601750AZ012ARIZONA                   LA PAZ                 2026010101500002025
3806000000PHOENIX-MESA-CHANDLER, AZ                         GSE  S04850000832750106625012888001601750AZ013ARIZONA                   MARICOPA               2026010104850002025
2942000000LAKE HAVASU CITY-KINGMAN, AZ                      GSE  S02670000832750106625012888001601750AZ015ARIZONA                   MOHAVE                 2026010102670002025
4332000000SHOW LOW, AZ                                      GSE  S02940000832750106625012888001601750AZ017ARIZONA                   NAVAJO                 2026010102940002025
4606000000TUCSON, AZ                                        GSE  S03600000832750106625012888001601750AZ019ARIZONA                   PIMA                   2026010103600002025
3806000000PHOENIX-MESA-CHANDLER, AZ                         GSE  S04850000832750106625012888001601750AZ021ARIZONA                   PINAL                  2026010104850002025
3570000000NOGALES, AZ                                       GSE  S02750000832750106625012888001601750AZ023ARIZONA                   SANTA CRUZ             2026010102750002025
3915000000PRESCOTT VALLEY-PRESCOTT, AZ                      GSE  S04250000832750106625012888001601750AZ025ARIZONA                   YAVAPAI                2026010104250002025
4974000000YUMA, AZ                                          GSE  S02680000832750106625012888001601750AZ027ARIZONA                   YUMA                   2026010102680002025
4186036084SAN FRANCISCO-OAKLAND-FREMONT, CA                 GSE  H17500001249125159937519332002402625CA001CALIFORNIA                ALAMEDA                2026010117500002025
2382000000GARDNERVILLE RANCHOS, NV-CA                       GSE  S06400000832750106625012888001601750CA003CALIFORNIA                ALPINE                 2026010106400002025
9999900000NON-METRO                                         GSE  S03850000832750106625012888001601750CA005CALIFORNIA                AMADOR                 2026010103950002022
1702000000CHICO, CA                                         GSE  S02880000832750106625012888001601750CA007CALIFORNIA                BUTTE                  2026010103100002022
9999900000NON-METRO                                         GSE  S03850000832750106625012888001601750CA009CALIFORNIA                CALAVERAS              2026010103990002022
9999900000NON-METRO                                         GSE  S03950000832750106625012888001601750CA011CALIFORNIA                COLUSA                 2026010104000002024
4186036084SAN FRANCISCO-OAKLAND-FREMONT, CA                 GSE  H17500001249125159937519332002402625CA013CALIFORNIA                CONTRA COSTA           2026010117500002025
1886000000CRESCENT CITY, CA                                 GSE  S02950000832750106625012888001601750CA015CALIFORNIA                DEL NORTE              2026010102950002025
4090000000SACRAMENTO-ROSEVILLE-FOLSOM, CA                   GSE  S06650000832750106625012888001601750CA017CALIFORNIA                EL DORADO              2026010106650002025
2342000000FRESNO, CA                                        GSE  S04300000832750106625012888001601750CA019CALIFORNIA                FRESNO                 2026010104300002025
9999900000NON-METRO                                         GSE  S03000000832750106625012888001601750CA021CALIFORNIA                GLENN                  2026010103130002024
2170000000EUREKA-ARCATA, CA                                 GSE  S04000000832750106625012888001601750CA023CALIFORNIA                HUMBOLDT               2026010104000002022
2094000000EL CENTRO, CA                                     GSE  S03550000832750106625012888001601750CA025CALIFORNIA                IMPERIAL               2026010103550002025
1386000000BISHOP, CA                                        GSE  S04550000832750106625012888001601750CA027CALIFORNIA                INYO                   2026010104550002025
1254000000BAKERSFIELD-DELANO, CA                            GSE  S03650000832750106625012888001601750CA029CALIFORNIA                KERN                   2026010103650002025
2526000000HANFORD-CORCORAN, CA                              GSE  S03700000832750106625012888001601750CA031CALIFORNIA                KINGS                  2026010103700002025
1734000000CLEARLAKE, CA                                     GSE  S02600000832750106625012888001601750CA033CALIFORNIA                LAKE                   2026010102600002025
4500000000SUSANVILLE, CA                                    GSE  S02000000832750106625012888001601750CA035CALIFORNIA                LASSEN                 2026010102000002025
3108031084LOS ANGELES-LONG BEACH-ANAHEIM, CA                GSE  H13000001249125159937519332002402625CA037CALIFORNIA                LOS ANGELES            2026010113000002025
2342000000FRESNO, CA                                        GSE  S04300000832750106625012888001601750CA039CALIFORNIA                MADERA                 2026010104300002025
4186042034SAN FRANCISCO-OAKLAND-FREMONT, CA                 GSE  H17500001249125159937519332002402625CA041CALIFORNIA                MARIN                  2026010117500002025
9999900000NON-METRO                                         GSE  S03300000832750106625012888001601750CA043CALIFORNIA                MARIPOSA               2026010103300002025
4638000000UKIAH, CA                                         GSE  S04590000832750106625012888001601750CA045CALIFORNIA                MENDOCINO              2026010104750002022
3290000000MERCED, CA                                        GSE  S04200000832750106625012888001601750CA047CALIFORNIA                MERCED                 2026010104200002025
9999900000NON-METRO                                         GSE  S01750000832750106625012888001601750CA049CALIFORNIA                MODOC                  2026010101750002025
9999900000NON-METRO                                         GSE  S06700000832750106625012888001601750CA051CALIFORNIA                MONO                   2026010106750002024
4150000000SALINAS, CA                                       GSE  H08650000994750127345015393501913000CA053CALIFORNIA                MONTEREY               2026010108650002025
3490000000NAPA, CA                                          GSE  H08500001017750130290015749001957250CA055CALIFORNIA                NAPA                   2023010108850002022
4602000000TRUCKEE-GRASS VALLEY, CA                          GSE  S05650000832750106625012888001601750CA057CALIFORNIA                NEVADA                 2026010105650002025
3108011244LOS ANGELES-LONG BEACH-ANAHEIM, CA                GSE  H13000001249125159937519332002402625CA059CALIFORNIA                ORANGE                 2026010113000002025
4090000000SACRAMENTO-ROSEVILLE-FOLSOM, CA                   GSE  S06650000832750106625012888001601750CA061CALIFORNIA                PLACER                 2026010106650002025
9999900000NON-METRO                                         GSE  S03110000832750106625012888001601750CA063CALIFORNIA                PLUMAS                 2026010103110002025
4014000000RIVERSIDE-SAN BERNARDINO-ONTARIO, CA              GSE  S06000000832750106625012888001601750CA065CALIFORNIA                RIVERSIDE              2026010106000002025
