FIPS State Code,FIPS County Code,County Name,State,CBSA Number,"One-Unit
Limit","Two-Unit
Limit","Three-Unit
Limit","Four-Unit
Limit"
26,009,ANTRIM COUNTY,MI,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,011,ARENAC COUNTY,MI,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,013,BARAGA COUNTY,MI,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,015,BARRY COUNTY,MI,24340,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,017,BAY COUNTY,MI,13020,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,019,BENZIE COUNTY,MI,45900,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,021,BERRIEN COUNTY,MI,35660,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,023,BRANCH COUNTY,MI,17740,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,025,CALHOUN COUNTY,MI,12980,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,027,CASS COUNTY,MI,43780,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,029,CHARLEVOIX COUNTY,MI,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,031,CHEBOYGAN COUNTY,MI,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,033,CHIPPEWA COUNTY,MI,42300,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,035,CLARE COUNTY,MI,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,037,CLINTON COUNTY,MI,29620,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,039,CRAWFORD COUNTY,MI,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,041,DELTA COUNTY,MI,21540,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,043,DICKINSON COUNTY,MI,27020,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,045,EATON COUNTY,MI,29620,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,047,EMMET COUNTY,MI,37950,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,049,GENESEE COUNTY,MI,22420,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,051,GLADWIN COUNTY,MI,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,053,GOGEBIC COUNTY,MI,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,055,GRAND TRAVERSE COUNTY,MI,45900,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,057,GRATIOT COUNTY,MI,10940,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,059,HILLSDALE COUNTY,MI,25880,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,061,HOUGHTON COUNTY,MI,26340,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,063,HURON COUNTY,MI,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,065,INGHAM COUNTY,MI,29620,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,067,IONIA COUNTY,MI,24340,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,069,IOSCO COUNTY,MI,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,071,IRON COUNTY,MI,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,073,ISABELLA COUNTY,MI,34380,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,075,JACKSON COUNTY,MI,27100,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,077,KALAMAZOO COUNTY,MI,28020,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,079,KALKASKA COUNTY,MI,45900,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,081,KENT COUNTY,MI,24340,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,083,KEWEENAW COUNTY,MI,26340,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,085,LAKE COUNTY,MI,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,087,LAPEER COUNTY,MI,19820,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,089,LEELANAU COUNTY,MI,45900,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,091,LENAWEE COUNTY,MI,10300,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,093,LIVINGSTON COUNTY,MI,19820,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,095,LUCE COUNTY,MI,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,097,MACKINAC COUNTY,MI,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,099,MACOMB COUNTY,MI,19820,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,101,MANISTEE COUNTY,MI,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,103,MARQUETTE COUNTY,MI,32100,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,105,MASON COUNTY,MI,31220,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,107,MECOSTA COUNTY,MI,13660,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,109,MENOMINEE COUNTY,MI,31940,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,111,MIDLAND COUNTY,MI,33220,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,113,MISSAUKEE COUNTY,MI,15620,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,115,MONROE COUNTY,MI,33780,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,117,MONTCALM COUNTY,MI,24340,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,119,MONTMORENCY COUNTY,MI,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,121,MUSKEGON COUNTY,MI,34740,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,123,NEWAYGO COUNTY,MI,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,125,OAKLAND COUNTY,MI,19820,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,127,OCEANA COUNTY,MI,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,129,OGEMAW COUNTY,MI,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,131,ONTONAGON COUNTY,MI,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
26,133,OSCEOLA COUNTY,MI,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
